timestamp,client_ip,query,record_type,response_code
2026-06-15T00:24:24,10.20.11.196,office365.com,CNAME,NOERROR
2026-06-15T00:24:43,10.21.7.193,mail.corp.local,CNAME,NOERROR
2026-06-15T00:25:35,10.21.7.130,corp.local,AAAA,NOERROR
2026-06-15T00:26:30,172.16.5.104,mail.corp.local,CNAME,NOERROR
2026-06-15T00:26:50,10.21.7.71,corp.local,CNAME,NOERROR
2026-06-15T00:27:28,10.22.9.55,corp.local,CNAME,NOERROR
2026-06-15T00:27:42,10.22.9.170,mail.corp.local,CNAME,NOERROR
2026-06-15T00:27:55,10.21.7.70,slack.com,CNAME,NOERROR
2026-06-15T00:28:08,172.16.5.204,cloudflare.com,A,NOERROR
2026-06-15T00:29:16,10.21.7.26,intranet.corp.local,CNAME,NOERROR
2026-06-15T00:30:13,10.20.11.6,lckz3vwlo7ammpq0hzyjb48wumh9nklybwgmp9a9uri7ev4dh9.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:30:19,172.16.5.76,mail.corp.local,CNAME,NOERROR
2026-06-15T00:30:24,10.20.11.198,office365.com,CNAME,NOERROR
2026-06-15T00:30:47,172.16.5.106,microsoft.com,CNAME,NOERROR
2026-06-15T00:31:03,10.20.11.109,github.com,A,NXDOMAIN
2026-06-15T00:31:57,10.21.7.83,mail.corp.local,AAAA,NOERROR
2026-06-15T00:32:25,10.20.4.172,akamai.net,CNAME,NOERROR
2026-06-15T00:33:08,10.21.7.130,github.com,A,NOERROR
2026-06-15T00:33:53,172.16.5.102,intranet.corp.local,CNAME,NOERROR
2026-06-15T00:34:51,10.22.9.128,slack.com,CNAME,NOERROR
2026-06-15T00:36:00,10.21.7.213,slack.com,CNAME,NOERROR
2026-06-15T00:36:06,10.20.11.238,oa31xyduppgbivscuoavfwy8av2osg.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:36:48,10.20.11.119,microsoft.com,CNAME,NOERROR
2026-06-15T00:37:27,10.20.11.46,slack.com,CNAME,NOERROR
2026-06-15T00:38:29,10.20.11.84,k6hqiv929sevl7fq8aby595cpjze1x.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:38:58,172.16.5.184,corp.local,CNAME,NOERROR
2026-06-15T00:39:14,10.22.9.125,c330bo7wp2d41u2znxfirjlyqz11mylqjjbfsa5uzlzukzyf2e.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:39:51,172.16.5.76,ji4ufans5sr69xvssn7x5rrnycihfv0ehruwa03260.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:40:55,10.21.7.172,odlctt058cuij0yxiyqbvtdg3c6sci.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:41:47,172.16.5.196,rd5b2crprdvvkap6zpxvw19jojwlrkxjtmyswe1ga6srg1yd5m.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:42:28,172.16.5.212,mail.corp.local,CNAME,NOERROR
2026-06-15T00:43:26,10.20.11.201,google.com,A,NXDOMAIN
2026-06-15T00:43:41,10.20.11.56,google.com,CNAME,NOERROR
2026-06-15T00:44:13,172.16.5.80,microsoft.com,CNAME,NOERROR
2026-06-15T00:45:09,172.16.5.122,fileshare.corp.local,CNAME,NOERROR
2026-06-15T00:45:48,10.21.7.239,hylgogfxlsrvp0ij74nl03llu1a7boxfqj3hxj3apnu02wpjcf.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:46:53,10.22.9.243,v882o8zi9vccmtpkq5c9035vuupltxu3yf15z08n10hlinh8jv.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:47:33,10.20.4.37,fileshare.corp.local,CNAME,NOERROR
2026-06-15T00:48:41,10.22.9.111,office365.com,CNAME,NOERROR
2026-06-15T00:49:16,10.22.9.206,3c9nu985ltkmccduefs4uqxgcy3q69.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:50:08,10.20.11.168,cxmsy3paua3aipjiylqx1um55f1hgav42t8llihkpj.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:50:14,10.20.11.199,mail.corp.local,AAAA,NOERROR
2026-06-15T00:51:21,10.20.4.37,slack.com,CNAME,NOERROR
2026-06-15T00:52:15,10.20.4.215,a54hbph1ve8susfh70m9ohdsrs8anp8dmlc8xizx35.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:53:06,10.20.4.245,office365.com,A,NOERROR
2026-06-15T00:53:23,10.21.7.13,mail.corp.local,CNAME,NOERROR
2026-06-15T00:54:24,10.20.11.47,cloudflare.com,CNAME,NOERROR
2026-06-15T00:54:56,10.20.4.34,github.com,CNAME,NOERROR
2026-06-15T00:55:03,10.20.11.37,cloudflare.com,A,NXDOMAIN
2026-06-15T00:55:57,10.22.9.197,corp.local,CNAME,NOERROR
2026-06-15T00:56:30,10.20.4.154,intranet.corp.local,CNAME,NOERROR
2026-06-15T00:57:31,10.21.7.97,cloudflare.com,CNAME,NOERROR
2026-06-15T00:58:22,10.22.9.212,mail.corp.local,CNAME,NOERROR
2026-06-15T00:59:27,10.22.9.46,7803g5dfrlw6jl2l5b56bnvsfa6d9e.cdn-sync-update.net,TXT,NOERROR
2026-06-15T00:59:44,10.22.9.120,intranet.corp.local,AAAA,NOERROR
2026-06-15T01:00:27,172.16.5.114,mail.corp.local,CNAME,NOERROR
2026-06-15T01:01:13,172.16.5.209,ar6jlt8ydr3ues2fx0zkwij0kzqvs9j6lnf0402w29aw4ioar4.cdn-sync-update.net,TXT,NOERROR
2026-06-15T01:01:35,10.20.11.162,cloudflare.com,CNAME,NOERROR
2026-06-15T01:01:49,10.22.9.117,intranet.corp.local,CNAME,NOERROR
2026-06-15T01:02:05,10.22.9.161,google.com,CNAME,NOERROR
2026-06-15T01:02:30,172.16.5.114,fileshare.corp.local,CNAME,NOERROR
2026-06-15T01:03:00,10.21.7.169,github.com,CNAME,NOERROR
2026-06-15T01:04:06,10.21.7.88,j3rtxymscnx8eiqetk5lp9c5so79h4.cdn-sync-update.net,TXT,NOERROR
2026-06-15T01:04:41,10.20.11.200,corp.local,CNAME,NOERROR
2026-06-15T01:04:55,10.20.11.189,microsoft.com,CNAME,NOERROR
2026-06-15T01:05:17,172.16.5.155,akamai.net,A,NXDOMAIN
2026-06-15T01:06:12,10.20.11.146,github.com,CNAME,NOERROR
2026-06-15T01:07:16,172.16.5.14,mail.corp.local,AAAA,NOERROR
2026-06-15T01:08:26,172.16.5.60,8tndfww41f7v4k88k686qe7ajul7w8cof3138i2xog4c8j6e07.cdn-sync-update.net,TXT,NOERROR
2026-06-15T01:08:59,10.20.11.54,fjlwss1vip3tvf51z58b4jwpgz5rksd085i4rzpcd1.cdn-sync-update.net,TXT,NOERROR
2026-06-15T01:09:10,10.21.7.233,google.com,CNAME,NOERROR
2026-06-15T01:10:17,172.16.5.86,slack.com,A,NOERROR
2026-06-15T01:10:53,10.21.7.93,azrvhpj93rvuv5ybd4xdd8iuzv3zbx.cdn-sync-update.net,TXT,NOERROR
2026-06-15T01:11:49,10.22.9.220,us73w1yaua8d7204j3m9iqbq9j2h1tlom344mw04i3.cdn-sync-update.net,TXT,NOERROR
2026-06-15T01:12:32,10.20.4.236,fileshare.corp.local,CNAME,NOERROR
2026-06-15T01:13:19,10.22.9.82,cloudflare.com,CNAME,NOERROR
2026-06-15T01:13:42,10.22.9.165,mail.corp.local,CNAME,NOERROR
2026-06-15T01:13:50,10.22.9.53,4rmpnfgaglsxkugwcdz6x4fmmen4052w8li3if9aiz.cdn-sync-update.net,TXT,NOERROR
2026-06-15T01:14:35,10.20.11.64,intranet.corp.local,CNAME,NOERROR
2026-06-15T01:15:31,10.22.9.167,intranet.corp.local,CNAME,NOERROR
2026-06-15T01:15:35,10.20.11.5,office365.com,A,NOERROR
2026-06-15T01:16:13,10.20.11.248,corp.local,CNAME,NOERROR
2026-06-15T01:16:43,172.16.5.125,akamai.net,A,NXDOMAIN
2026-06-15T01:17:49,10.22.9.108,github.com,CNAME,NOERROR
2026-06-15T01:18:56,172.16.5.147,intranet.corp.local,CNAME,NOERROR
2026-06-15T01:19:40,10.22.9.49,github.com,CNAME,NOERROR
2026-06-15T01:20:14,172.16.5.104,akamai.net,CNAME,NOERROR
2026-06-15T01:20:59,172.16.5.229,office365.com,CNAME,NOERROR
2026-06-15T01:22:02,10.21.7.182,microsoft.com,CNAME,NOERROR
2026-06-15T01:23:07,10.21.7.112,office365.com,A,NOERROR
2026-06-15T01:24:16,10.21.7.232,intranet.corp.local,CNAME,NOERROR
2026-06-15T01:24:30,10.21.7.140,microsoft.com,CNAME,NOERROR
2026-06-15T01:24:47,10.20.4.247,mail.corp.local,CNAME,NOERROR
