timestamp,src_ip,src_port,dst_ip,dst_port,protocol,bytes,status
2026-06-15T01:06:23,10.22.9.193,14795,91.203.145.12,443,TCP,271082,CLOSED
2026-06-15T01:08:09,10.20.4.92,39243,185.220.101.47,443,TCP,169484,CLOSED
2026-06-15T01:09:03,10.22.9.156,4830,172.16.5.150,445,TCP,20824,ESTABLISHED
2026-06-15T01:09:32,10.21.7.132,40904,45.146.164.110,3389,TCP,1718,RESET
2026-06-15T01:11:30,172.16.5.55,34154,103.68.22.9,443,TCP,579234,ESTABLISHED
2026-06-15T01:13:01,172.16.5.115,27960,45.146.164.110,443,TCP,276816,CLOSED
2026-06-15T01:14:15,10.20.4.222,11218,185.220.101.47,8443,TCP,1692,RESET
2026-06-15T01:14:50,10.20.4.40,16608,198.51.100.23,443,TCP,210768,CLOSED
2026-06-15T01:14:55,10.20.4.48,8528,10.20.0.53,53,UDP,383,CLOSED
2026-06-15T01:16:49,172.16.5.9,42445,103.68.22.9,443,TCP,47750,CLOSED
2026-06-15T01:18:13,172.16.5.226,53929,198.51.100.23,443,TCP,53807,CLOSED
2026-06-15T01:20:07,10.20.11.239,38187,45.146.164.110,22,TCP,2152,RESET
2026-06-15T01:21:08,10.20.11.210,54004,185.220.101.47,443,TCP,257590,CLOSED
2026-06-15T01:21:32,10.20.4.236,27355,91.203.145.12,443,TCP,20714,CLOSED
2026-06-15T01:22:02,10.20.4.14,30822,198.51.100.23,443,TCP,70682,CLOSED
2026-06-15T01:22:57,10.20.11.125,52098,45.146.164.110,443,TCP,292394,CLOSED
2026-06-15T01:24:44,10.20.11.101,37283,198.51.100.23,443,TCP,122593,CLOSED
2026-06-15T01:25:04,10.20.11.72,60353,198.51.100.23,443,TCP,230435,CLOSED
2026-06-15T01:25:15,10.21.7.157,60145,45.146.164.110,22,TCP,1053,RESET
2026-06-15T01:27:07,10.21.7.13,28596,91.203.145.12,443,TCP,173415,CLOSED
2026-06-15T01:28:21,10.22.9.132,41275,10.22.9.222,445,TCP,34984,ESTABLISHED
2026-06-15T01:28:33,10.20.11.50,23196,103.68.22.9,443,TCP,235380,CLOSED
2026-06-15T01:29:51,10.20.4.206,32929,91.203.145.12,443,TCP,125297,CLOSED
2026-06-15T01:31:48,10.20.4.198,12218,185.220.101.47,22,TCP,1382,RESET
2026-06-15T01:32:11,10.21.7.89,42450,185.220.101.47,443,TCP,168376,CLOSED
2026-06-15T01:33:09,10.22.9.175,60338,185.220.101.47,443,TCP,376841,ESTABLISHED
2026-06-15T01:33:24,10.20.11.166,7159,198.51.100.23,443,TCP,252340,CLOSED
2026-06-15T01:34:18,172.16.5.156,45293,45.146.164.110,443,TCP,272335,CLOSED
2026-06-15T01:35:14,10.21.7.183,54905,103.68.22.9,443,TCP,139601,CLOSED
2026-06-15T01:35:35,10.20.4.81,25117,172.16.5.139,445,TCP,14712,ESTABLISHED
2026-06-15T01:35:40,10.20.4.250,6027,103.68.22.9,443,TCP,34997,CLOSED
2026-06-15T01:35:57,10.21.7.229,32703,185.220.101.47,443,TCP,55188,CLOSED
2026-06-15T01:36:55,10.20.11.241,15888,103.68.22.9,443,TCP,894161,ESTABLISHED
2026-06-15T01:37:41,10.20.4.52,27277,45.146.164.110,22,TCP,1388,RESET
2026-06-15T01:38:31,10.22.9.211,62260,198.51.100.23,443,TCP,40636,CLOSED
2026-06-15T01:40:31,10.20.4.151,42892,91.203.145.12,443,TCP,237604,CLOSED
2026-06-15T01:41:16,172.16.5.116,36264,185.220.101.47,3389,TCP,1010,RESET
2026-06-15T01:42:54,10.21.7.207,52009,103.68.22.9,443,TCP,188754,CLOSED
2026-06-15T01:43:56,10.22.9.133,20155,10.21.7.107,445,TCP,32000,ESTABLISHED
2026-06-15T01:45:28,172.16.5.209,20255,185.220.101.47,443,TCP,800262,ESTABLISHED
2026-06-15T01:46:37,10.20.11.211,51627,91.203.145.12,443,TCP,225514,CLOSED
2026-06-15T01:47:34,10.21.7.210,2442,185.220.101.47,443,TCP,227995,CLOSED
2026-06-15T01:48:14,10.20.11.242,9852,198.51.100.23,443,TCP,168904,CLOSED
2026-06-15T01:49:01,10.22.9.57,50725,91.203.145.12,443,TCP,266806,CLOSED
2026-06-15T01:50:09,10.20.11.224,8824,103.68.22.9,443,TCP,262710,CLOSED
2026-06-15T01:51:39,10.21.7.117,47319,45.146.164.110,443,TCP,78728,CLOSED
2026-06-15T01:52:50,10.22.9.61,7869,198.51.100.23,443,TCP,414617,ESTABLISHED
2026-06-15T01:53:46,172.16.5.200,49719,10.20.11.183,445,TCP,3473,ESTABLISHED
2026-06-15T01:54:32,10.20.11.146,55410,185.220.101.47,443,TCP,175263,CLOSED
2026-06-15T01:55:18,172.16.5.96,61432,103.68.22.9,443,TCP,87314,CLOSED
2026-06-15T01:56:59,10.20.11.60,12496,103.68.22.9,443,TCP,48932,CLOSED
2026-06-15T01:58:41,10.22.9.220,49283,103.68.22.9,443,TCP,37661,CLOSED
2026-06-15T01:59:31,172.16.5.90,42103,103.68.22.9,443,TCP,283327,CLOSED
2026-06-15T02:01:29,10.20.11.151,29391,91.203.145.12,443,TCP,27130,ESTABLISHED
2026-06-15T02:02:37,10.22.9.235,14609,103.68.22.9,443,TCP,154401,CLOSED
2026-06-15T02:03:27,10.22.9.218,31887,103.68.22.9,443,TCP,205330,CLOSED
2026-06-15T02:03:44,10.20.11.188,9041,45.146.164.110,445,TCP,2291,RESET
2026-06-15T02:04:11,10.21.7.168,6419,91.203.145.12,443,TCP,141870,CLOSED
2026-06-15T02:04:48,172.16.5.31,28856,185.220.101.47,443,TCP,233210,CLOSED
2026-06-15T02:05:53,10.20.4.88,1884,45.146.164.110,443,TCP,88314,CLOSED
2026-06-15T02:06:53,10.20.4.133,44566,185.220.101.47,443,TCP,426137,ESTABLISHED
2026-06-15T02:07:33,172.16.5.143,5729,103.68.22.9,443,TCP,53342,CLOSED
2026-06-15T02:07:38,10.20.11.203,51041,103.68.22.9,443,TCP,144870,CLOSED
2026-06-15T02:07:43,10.22.9.100,46836,185.220.101.47,443,TCP,135269,CLOSED
2026-06-15T02:07:54,172.16.5.54,46505,91.203.145.12,443,TCP,237297,CLOSED
2026-06-15T02:08:48,10.21.7.8,49254,10.20.11.153,445,TCP,48118,ESTABLISHED
2026-06-15T02:10:00,10.20.11.139,27570,103.68.22.9,443,TCP,128044,CLOSED
2026-06-15T02:11:02,10.20.11.199,62250,185.220.101.47,443,TCP,853346,ESTABLISHED
2026-06-15T02:11:50,10.20.11.110,64052,10.20.0.53,53,UDP,496,CLOSED
2026-06-15T02:13:01,10.21.7.250,62157,185.220.101.47,443,TCP,203073,CLOSED
2026-06-15T02:14:46,10.20.11.31,37581,45.146.164.110,443,TCP,219402,CLOSED
2026-06-15T02:16:34,10.22.9.117,31149,185.220.101.47,443,TCP,199446,CLOSED
2026-06-15T02:17:32,10.22.9.107,29565,185.220.101.47,443,TCP,2284,CLOSED
2026-06-15T02:19:20,10.20.11.82,49953,91.203.145.12,443,TCP,127596,CLOSED
2026-06-15T02:20:32,10.21.7.46,54193,185.220.101.47,443,TCP,142957,ESTABLISHED
2026-06-15T02:22:26,10.20.11.36,45591,45.146.164.110,443,TCP,142357,CLOSED
2026-06-15T02:22:47,172.16.5.152,36689,185.220.101.47,443,TCP,39442,CLOSED
2026-06-15T02:23:29,10.20.11.187,29710,91.203.145.12,443,TCP,291812,CLOSED
